#x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1800000000000002,-0.5800000000000001,0.6933034373659254,0.3623105625617661
-1.13,-0.6799999999999997,0.711577310586391,0.35311288741492747
-1.08,-0.7799999999999994,0.7262087348130013,0.33078865529319545
-1.08,-0.8799999999999999,0.7066372975210778,0.35000000000000003
-1.08,-0.9299999999999997,0.7016648189186454,0.35000000000000003
-1.0299999999999998,-1.0299999999999994,0.7405694150420948,0.30000000000000004
-1.0299999999999998,-1.13,0.7148529270389178,0.30000000000000004
-1.0299999999999998,-1.2299999999999995,0.7016648189186454,0.30000000000000004
-1.0299999999999998,-1.33,0.7000000000000001,0.3035533905932738
-1.0299999999999998,-1.4299999999999997,0.7000000000000001,0.3035533905932738
-1.0299999999999998,-1.5299999999999994,0.7000000000000001,0.30000000000000004
-1.0299999999999998,-1.63,0.7000000000000001,0.30000000000000004
-1.08,-1.7299999999999995,0.65178344238091,0.35000000000000003
-1.08,-1.83,0.6658910531638177,0.3140054944640259
-1.13,-1.9299999999999997,0.646419413859206,0.35000000000000003
-1.13,-2.0299999999999994,0.6882411530116701,0.33078865529319545
-1.1800000000000002,-2.08,0.6711102550927979,0.3623105625617661
-1.23,-2.1799999999999997,0.6882411530116701,0.397213595499958
-1.23,-2.2799999999999994,0.7326237921249265,0.3623105625617661
-1.2799999999999998,-2.33,0.711577310586391,0.4027692569068709
-1.2799999999999998,-2.4299999999999997,0.756225774829855,0.37720018726587656
-1.2799999999999998,-2.5299999999999994,0.8,0.35311288741492747
-1.33,-2.63,0.8,0.4
-1.33,-2.7299999999999995,0.8513878188659973,0.4
-1.38,-2.83,0.867877987534291,0.45
-1.38,-2.9299999999999997,0.9117692030835672,0.45
-1.4300000000000002,-3.0299999999999994,0.9117692030835672,0.47201532544552754
-1.4300000000000002,-3.08,0.9348857801796104,0.45990195135927847
